"Postcode_2006","ElectoralDistrict_2004"
2000,"Sydney"
2006,"Marrickville"
2007,"Balmain"
2008,"Marrickville"
2009,"Sydney"
2010,"Vaucluse"
2011,"Vaucluse"
2015,"Heffron"
2016,"Marrickville"
2017,"Sydney"
2018,"Heffron"
2019,"Heffron"
2020,"Heffron"
2021,"Sydney"
2022,"Coogee"
2023,"Vaucluse"
2024,"Coogee"
2025,"Coogee"
2026,"Coogee"
2027,"Vaucluse"
2028,"Vaucluse"
2029,"Vaucluse"
2030,"Vaucluse"
2031,"Coogee"
2032,"Coogee"
2033,"Coogee"
2034,"Coogee"
2035,"Heffron"
2036,"Rockdale"
2037,"Marrickville"
2038,"Marrickville"
2039,"Balmain"
2040,"Marrickville"
2041,"Balmain"
2042,"Marrickville"
2043,"Marrickville"
2044,"Marrickville"
2045,"Marrickville"
2046,"Balmain"
2047,"Balmain"
2048,"Marrickville"
2049,"Marrickville"
2050,"Marrickville"
2060,"North Shore"
2061,"North Shore"
2062,"North Shore"
2063,"Willoughby"
2064,"Lane Cove"
2065,"North Shore"
2066,"Lane Cove"
2067,"Ku-ring-gai"
2068,"Willoughby"
2069,"Davidson"
2070,"Davidson"
2071,"Davidson"
2072,"Davidson"
2073,"Davidson"
2074,"Davidson"
2075,"Davidson"
2076,"Ku-ring-gai"
2077,"Ku-ring-gai"
2079,"Hornsby"
2080,"Hornsby"
2081,"Hornsby"
2082,"Hawkesbury"
2083,"Ku-ring-gai"
2084,"Davidson"
2085,"Davidson"
2086,"Davidson"
2087,"Davidson"
2088,"North Shore"
2089,"North Shore"
2090,"North Shore"
2092,"North Shore"
2093,"North Shore"
2094,"Manly"
2095,"Manly"
2096,"Manly"
2097,"Wakehurst"
2099,"Davidson"
2100,"Wakehurst"
2101,"Davidson"
2102,"Pittwater"
2103,"Pittwater"
2104,"Pittwater"
2105,"Pittwater"
2106,"Pittwater"
2107,"Pittwater"
2108,"Pittwater"
2109,"Ku-ring-gai"
2110,"Lane Cove"
2111,"Lane Cove"
2112,"Lane Cove"
2113,"Ku-ring-gai"
2114,"Ryde"
2115,"Ryde"
2116,"Auburn"
2117,"Ryde"
2118,"Epping"
2119,"Epping"
2120,"Ku-ring-gai"
2121,"Ku-ring-gai"
2122,"Ku-ring-gai"
2125,"Epping"
2126,"Epping"
2127,"Auburn"
2128,"Auburn"
2130,"Marrickville"
2131,"Balmain"
2132,"Canterbury"
2133,"Canterbury"
2134,"Drummoyne"
2135,"Canterbury"
2136,"Strathfield"
2137,"Drummoyne"
2138,"Drummoyne"
2140,"Drummoyne"
2141,"Drummoyne"
2142,"Granville"
2143,"Bankstown"
2144,"Granville"
2145,"Toongabbie"
2146,"Toongabbie"
2147,"Toongabbie"
2148,"Toongabbie"
2150,"Granville"
2151,"Parramatta"
2152,"Parramatta"
2153,"Toongabbie"
2154,"Hawkesbury"
2155,"Riverstone"
2156,"Hawkesbury"
2157,"Hawkesbury"
2158,"Hawkesbury"
2159,"Hawkesbury"
2160,"Fairfield"
2161,"Smithfield"
2162,"Bankstown"
2163,"Cabramatta"
2164,"Smithfield"
2165,"Smithfield"
2166,"Menai"
2167,"Menai"
2168,"Liverpool"
2170,"Menai"
2171,"Liverpool"
2172,"Menai"
2173,"Menai"
2174,"Macquarie Fields"
2175,"Liverpool"
2176,"Liverpool"
2177,"Liverpool"
2178,"Liverpool"
2179,"Liverpool"
2190,"Bankstown"
2191,"Canterbury"
2192,"Canterbury"
2193,"Canterbury"
2194,"Canterbury"
2195,"Bankstown"
2196,"Bankstown"
2197,"Bankstown"
2198,"Menai"
2199,"Bankstown"
2200,"Bankstown"
2203,"Marrickville"
2204,"Marrickville"
2205,"Marrickville"
2206,"Marrickville"
2207,"Rockdale"
2208,"Rockdale"
2209,"Kogarah"
2210,"Lakemba"
2211,"Bankstown"
2212,"East Hills"
2213,"Menai"
2214,"Menai"
2216,"Rockdale"
2217,"Rockdale"
2218,"Rockdale"
2219,"Rockdale"
2220,"Kogarah"
2221,"Rockdale"
2222,"Oatley"
2223,"Kogarah"
2224,"Rockdale"
2225,"Miranda"
2226,"Menai"
2227,"Miranda"
2228,"Cronulla"
2229,"Rockdale"
2230,"Rockdale"
2231,"Rockdale"
2232,"Menai"
2233,"Menai"
2234,"Menai"
2250,"Hawkesbury"
2251,"Terrigal"
2256,"Terrigal"
2257,"Terrigal"
2258,"Wyong"
2259,"Cessnock"
2260,"Terrigal"
2261,"Wyong"
2262,"Swansea"
2263,"Wyong"
2264,"Lake Macquarie"
2265,"Cessnock"
2267,"Lake Macquarie"
2278,"Wallsend"
2280,"Swansea"
2281,"Swansea"
2282,"Swansea"
2283,"Lake Macquarie"
2284,"Wallsend"
2285,"Wallsend"
2286,"Wallsend"
2287,"Wallsend"
2289,"Wallsend"
2290,"Swansea"
2291,"Newcastle"
2292,"Wallsend"
2293,"Newcastle"
2294,"Newcastle"
2295,"Newcastle"
2296,"Newcastle"
